,player,team,club,age_years,age_float,age,minutes_90s,tackles,tackles_won,succesful_tackles_pct,tackles_def_3rd,tackles_mid_3rd,dribble_tackles,dribbled_past,dribbles_vs,dribble_tackles_pct,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_pen_area_pct,touches_def_3rd,touches_mid_3rd,miscontrols,dispossessed,passes_received,passes_completed,passes,passes_pct,passes_progressive_distance,assisted_shots,passes_into_final_third,progressive_passes,passes_dead,through_balls,passes_switches,passes_blocked,cards_yellow,cards_red,fouls,fouled,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,sca_fouled,sca_defense,gca_fouled,gca_defense
10,Alexander Bah,Denmark,Benfica,25,25.0247,25-009,0.5,4.0,4,1.0,2.0,1.0,2.0,1.0,3.0,66.7,2.0,0.0,2.0,2,6.0,0.0,0.0,65.0,1.0,0.0154,22.0,19.0,0.0,0.0,36.0,37.0,53.0,69.8,150.0,1.0,0.0,2.0,7.0,0.0,0.0,1.0,0,0,1,0,0.0,0,3.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0
11,Alexander Djiku,Ghana,Strasbourg,28,28.3589,28-131,1.1,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,2,3.0,9.0,0.0,43.0,15.0,0.3488,33.0,10.0,0.0,0.0,18.0,22.0,28.0,78.6,180.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,2,0.0,0,3.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0
12,Ali Abdi,Tunisia,Caen,28,28.9945,28-363,2.1,8.0,5,0.625,5.0,2.0,3.0,0.0,3.0,100.0,1.0,0.0,1.0,4,12.0,13.0,1.0,152.0,16.0,0.1053,66.0,61.0,5.0,4.0,67.0,72.0,116.0,62.1,630.0,1.0,4.0,6.0,28.0,0.0,0.0,5.0,1,0,5,0,0.0,0,17.0,9.0,5.0,64.3,0.0,0.0,0.0,0.0
13,Ali Al-Bulaihi,Saudi Arabia,Al-Hilal,33,33.074,33-027,2.4,4.0,2,0.5,2.0,2.0,2.0,2.0,4.0,50.0,1.0,1.0,0.0,3,7.0,1.0,0.0,110.0,7.0,0.0636,54.0,55.0,2.0,0.0,65.0,78.0,97.0,80.4,379.0,0.0,2.0,5.0,10.0,0.0,1.0,0.0,1,0,1,1,0.0,0,5.0,3.0,3.0,50.0,0.0,0.0,0.0,0.0
14,Ali Maâloul,Tunisia,Al Ahly SC,32,32.9616,32-351,1.0,1.0,1,1.0,0.0,1.0,1.0,0.0,1.0,100.0,2.0,0.0,2.0,0,1.0,4.0,0.0,70.0,3.0,0.0429,12.0,28.0,0.0,1.0,34.0,39.0,63.0,61.9,412.0,0.0,4.0,4.0,19.0,0.0,1.0,2.0,0,0,0,0,0.0,0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,Alidu Seidu,Ghana,Clermont Foot,22,22.5397,22-197,1.7,6.0,4,0.6667,5.0,1.0,2.0,0.0,2.0,100.0,5.0,0.0,5.0,0,6.0,3.0,0.0,98.0,3.0,0.0306,37.0,42.0,4.0,0.0,49.0,59.0,78.0,75.6,246.0,0.0,3.0,1.0,16.0,0.0,0.0,2.0,2,0,5,5,0.0,0,6.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0
16,Alistair Johnston,Canada,CF Montréal,24,24.1945,24-071,3.0,5.0,3,0.6,5.0,0.0,2.0,5.0,7.0,28.6,6.0,1.0,5.0,2,7.0,4.0,0.0,209.0,8.0,0.0383,61.0,106.0,4.0,1.0,121.0,147.0,186.0,79.0,998.0,3.0,9.0,10.0,41.0,0.0,1.0,3.0,1,0,5,3,0.0,0,16.0,4.0,2.0,66.7,0.0,0.0,0.0,0.0
17,Andreas Christensen,Denmark,Barcelona,26,26.6904,26-252,3.0,4.0,2,0.5,1.0,3.0,2.0,0.0,2.0,100.0,7.0,5.0,2.0,4,8.0,9.0,0.0,280.0,25.0,0.0893,106.0,173.0,2.0,1.0,217.0,237.0,251.0,94.4,1407.0,0.0,14.0,14.0,2.0,0.0,0.0,0.0,1,0,2,1,0.0,0,20.0,6.0,4.0,60.0,0.0,0.0,0.0,0.0
18,Andrija Živković,Serbia,PAOK,26,26.4384,26-160,2.3,5.0,3,0.6,2.0,2.0,2.0,1.0,3.0,66.7,5.0,0.0,5.0,3,8.0,3.0,0.0,118.0,7.0,0.0593,34.0,48.0,4.0,1.0,72.0,71.0,96.0,74.0,362.0,4.0,6.0,6.0,17.0,2.0,0.0,2.0,0,0,2,4,0.0,0,11.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0
19,Antonee Robinson,United States,Fulham,25,25.3616,25-132,4.0,5.0,4,0.8,5.0,0.0,3.0,4.0,7.0,42.9,3.0,0.0,3.0,7,12.0,8.0,0.0,288.0,15.0,0.0521,70.0,130.0,13.0,3.0,165.0,173.0,241.0,71.8,1043.0,3.0,12.0,10.0,36.0,0.0,1.0,7.0,0,0,2,0,0.0,0,40.0,5.0,3.0,62.5,0.0,0.0,0.0,0.0
20,Antonio Rüdiger,Germany,Real Madrid,29,29.7945,29-290,3.0,2.0,1,0.5,1.0,1.0,0.0,0.0,0.0,,3.0,2.0,1.0,0,2.0,5.0,1.0,273.0,22.0,0.0806,110.0,150.0,1.0,0.0,215.0,229.0,252.0,90.9,1341.0,0.0,14.0,17.0,9.0,0.0,2.0,1.0,0,0,0,3,0.0,0,20.0,6.0,1.0,85.7,1.0,0.0,0.0,0.0
21,António Silva,Portugal,Benfica,19,19.1342,19-049,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0,2.0,50.0,2.0,1.0,1.0,1,2.0,1.0,0.0,67.0,5.0,0.0746,32.0,35.0,0.0,0.0,49.0,60.0,62.0,96.8,310.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0,0,2,0,0.0,0,4.0,2.0,4.0,33.3,0.0,0.0,0.0,0.0
22,Artur Jędrzejczyk,Poland,Legia Warsaw,35,35.1205,35-044,0.2,0.0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,4.0,75.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
23,Axel Disasi,France,Monaco,24,24.7726,24-282,1.0,3.0,2,0.6667,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3,6.0,4.0,0.0,90.0,4.0,0.0444,18.0,48.0,0.0,1.0,50.0,61.0,78.0,78.2,302.0,0.0,2.0,5.0,17.0,0.0,0.0,1.0,0,0,0,1,0.0,0,4.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0
24,Aymeric Laporte,Spain,Manchester City,28,28.5616,28-205,3.3,2.0,0,0.0,2.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,3,5.0,7.0,0.0,456.0,29.0,0.0636,151.0,297.0,2.0,0.0,391.0,413.0,438.0,94.3,2489.0,1.0,26.0,14.0,14.0,0.0,3.0,2.0,1,0,3,2,0.0,0,17.0,5.0,3.0,62.5,0.0,0.0,0.0,0.0
